 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
75,2,36,599.090,507.057,0,4.608,6.770,57.526,550.352,5639.973,20.130
76,2,37,583.155,511.444,0,4.213,6.957,61.776,610.217,6369.458,10.614
77,2,38,613.041,619.238,0,4.357,4.943,37.480,347.431,3544.656,3.831E-14
78,2,40,457.958,655.941,0,3.136,7.903,69.581,658.252,6575.025,6.678
79,2,41,438.740,730.372,0,5.784,4.666,32.954,295.432,2990.787,0.314
80,2,42,492.045,771.765,0,3.263,7.365,62.648,593.582,6065.663,21.561
81,2,43,471.093,795.024,0,3.547,6.558,58.788,596.681,6433.381,0.534
82,2,44,391.735,926.996,0,8.818,8.802,86.615,897.926,9619.844,6.063E-40
83,2,45,392.181,936.417,0,10.442,7.380,72.605,800.138,9263.115,1.751E-18
84,2,46,458.265,990.486,0,2.966,6.468,56.911,564.481,5947.409,11.290
85,2,47,407.269,948.117,0,6.113,6.776,58.782,573.959,5980.435,0.001
86,2,48,395.639,1015.085,0,4.696,6.321,56.109,570.356,6152.184,14.868
87,2,50,381.084,1110.947,0,4.133,6.411,54.981,540.592,5695.804,4.153
88,2,51,554.195,1057.491,0,3.979,7.023,64.773,667.170,7265.831,11.338
89,2,54,406.431,1217.856,0,4.833,6.701,56.724,544.334,5630.924,0.320
90,2,55,616.917,1268.943,0,3.610,6.787,58.873,578.711,6096.804,21.161
91,2,56,398.497,1179.149,0,4.802,7.640,66.275,627.669,6335.646,0.400
92,2,57,406.022,1176.414,0,4.138,5.669,44.540,417.030,4283.560,13.688
93,2,58,577.669,1460.471,0,2.651,6.502,55.654,544.057,5687.574,1.230
94,2,59,551.847,1585.012,0,3.793,6.950,62.566,630.570,6750.634,64.995
95,2,60,733.772,1688.081,0,3.799,6.596,56.916,554.616,5769.835,18.738
96,2,61,715.711,1728.903,0,3.975,6.800,61.262,618.252,6600.239,9.815
97,2,62,744.085,1697.549,0,4.033,7.022,59.897,573.632,5898.292,27.659
98,2,64,731.454,1668.938,0,4.089,7.347,69.742,736.344,8166.688,5.898
99,2,69,747.271,1834.251,0,6.243,5.215,38.259,339.318,3349.417,10.464
100,2,70,731.705,1824.455,0,6.290,5.299,38.029,328.353,3164.883,4.056
101,2,71,724.451,1814.811,0,5.137,5.088,37.726,340.886,3433.103,3.571
102,2,72,714.850,1798.003,0,5.592,5.688,46.059,441.202,4597.125,1.116
103,2,74,763.024,1646.562,0,3.884,7.398,71.555,760.258,8429.930,0.000
104,2,76,505.185,1545.298,0,4.264,6.383,55.691,549.477,5750.950,0.121
105,2,77,499.185,1515.868,0,4.821,5.983,50.287,493.497,5242.853,3.683
106,2,78,489.901,1495.106,0,4.209,6.711,60.060,609.516,6571.121,1.982
107,2,79,632.370,1796.588,0,5.159,6.796,59.965,602.768,6471.753,0.003
108,2,80,864.691,2036.164,0,2.406,7.281,59.697,530.866,5022.771,3.346
109,2,82,657.520,1928.808,0,3.281,6.333,55.006,545.671,5790.561,5.294
110,2,86,639.276,1743.205,0,5.105,4.668,32.726,288.913,2891.520,8.038
111,2,87,634.643,1730.677,0,5.511,6.098,49.705,463.106,4632.825,7.783E-4
112,2,89,207.270,1397.793,0,3.486,4.654,33.782,306.984,3127.810,2.451E-4
113,2,90,210.640,1397.546,0,4.315,5.366,39.622,345.906,3306.792,15.063
114,2,91,294.373,1268.128,0,4.045,5.153,37.065,323.419,3160.360,1.132
115,2,93,335.483,1030.039,0,4.662,5.896,46.906,440.006,4525.200,0.004
116,2,94,338.825,1013.281,0,5.328,5.894,50.682,505.672,5394.861,0.214
117,2,95,393.721,939.747,0,3.816,6.517,56.368,553.303,5778.401,0.650
118,2,98,340.663,946.457,0,4.658,3.997,25.005,210.140,2078.426,3.759E-9
119,2,99,353.956,915.113,0,4.676,5.657,45.466,432.192,4477.795,0.145
120,2,100,346.704,909.908,0,5.283,4.720,34.251,315.362,3267.555,2.144E-6
121,2,101,358.483,891.754,0,4.521,5.863,47.577,454.522,4741.205,1.026
122,2,103,389.988,866.753,0,3.122,7.467,65.946,646.578,6765.367,5.972E-21
123,2,104,470.267,900.235,0,6.123,5.142,37.715,338.639,3388.050,0.003
124,2,105,465.980,898.875,0,5.290,4.947,36.238,326.635,3288.524,1.309
125,2,106,464.592,903.586,0,4.572,6.563,55.671,542.002,5702.405,0.003
126,2,107,649.984,878.691,0,3.845,6.999,62.863,625.316,6574.378,2.510
127,2,108,918.647,997.318,0,3.336,6.533,53.182,488.096,4832.642,12.015
128,2,109,911.647,1117.927,0,5.364,5.748,44.510,402.366,3967.039,4.364E-4
129,2,111,835.992,1135.047,0,4.688,5.884,48.341,467.413,4902.096,0.110
130,2,114,981.906,999.379,0,5.832,6.227,47.927,418.364,3960.542,1.691
131,2,115,945.995,1046.731,0,5.022,7.081,60.719,580.317,5912.842,0.005
132,2,116,1000.557,1037.422,0,4.274,5.764,45.577,423.286,4322.983,1.083
133,2,117,852.949,1090.779,0,3.585,8.285,80.480,825.683,8745.055,5.144
134,2,118,837.615,1132.346,0,6.755,4.495,31.033,272.749,2699.773,4.418
135,2,119,834.583,1131.191,0,5.358,5.502,43.090,401.983,4111.126,1.370
136,2,120,1001.611,1223.384,0,4.564,6.305,53.219,521.129,5502.689,11.778
137,2,121,1001.893,1222.656,0,4.333,7.472,65.612,633.024,6490.883,31.492
138,2,122,893.753,1335.169,0,3.396,7.167,61.050,573.390,5732.178,40.809
139,3,0,622.145,112.766,0,51.589,4.519,25.509,167.236,1226.796,0.000
140,3,1,628.522,106.768,0,41.120,4.172,21.511,126.769,822.988,0.000
141,3,2,631.176,106.418,0,44.846,4.025,19.800,110.681,679.239,0.000
142,3,3,620.209,96.806,0,34.848,4.244,22.387,136.244,926.983,0.000
143,3,4,502.449,69.987,0,12.335,6.299,51.951,495.120,5127.307,4.654E-19
144,3,5,612.495,65.547,0,27.076,4.634,27.254,187.451,1444.302,0.076
145,3,6,610.513,57.834,0,23.520,4.558,26.588,184.336,1457.588,0.000
146,3,7,613.829,42.852,0,22.707,5.000,31.251,225.019,1792.569,1.825E-41
147,3,8,609.289,26.164,0,26.219,4.735,28.214,194.913,1495.895,0.000
148,3,9,609.778,19.190,0,36.344,4.191,21.912,131.711,874.482,5.134E-20
149,3,10,610.744,10.866,0,32.439,4.388,24.519,161.019,1194.570,3.226E-5
150,3,11,613.358,6.049,0,31.595,4.168,21.928,136.199,962.794,0.000
151,3,12,608.810,2.512,0,3.481,3.342,18.860,153.288,1508.089,1.161E-38
152,3,13,612.109,3.023,0,3.246,4.601,32.492,296.681,3098.416,1.801E-6
153,3,15,1065.486,258.569,0,7.504,4.857,32.701,268.494,2496.540,0.010
154,3,16,1064.415,236.331,0,6.620,5.391,35.948,275.920,2347.950,7.501E-5
155,3,17,1057.315,211.347,0,8.432,4.629,27.919,203.153,1691.526,3.481E-27
156,3,18,1092.753,297.175,0,4.688,6.835,56.701,526.196,5247.638,2.903E-8
157,3,19,960.133,253.933,0,4.627,7.315,68.353,705.952,7666.917,0.049
158,3,20,919.890,553.768,0,5.908,4.958,37.686,355.687,3724.147,0.006
159,3,21,916.842,536.688,0,5.461,5.620,44.284,414.702,4251.438,0.309
160,3,22,914.618,527.423,0,5.437,5.428,41.421,378.747,3798.156,3.936
161,3,23,924.572,525.861,0,7.784,5.211,33.917,256.585,2180.157,7.694E-11
162,3,24,896.194,534.105,0,4.443,7.583,70.775,721.205,7681.261,4.728
163,3,25,911.956,502.559,0,6.714,6.308,47.667,404.204,3724.027,2.668E-5
164,3,26,930.970,371.757,0,4.082,7.610,69.798,701.061,7417.141,10.077
165,3,27,938.875,403.658,0,3.273,6.671,58.427,578.754,6112.429,24.376
166,3,31,923.691,490.404,0,6.261,5.761,42.963,379.784,3737.367,11.336
167,3,32,905.012,386.386,0,3.387,6.814,60.313,600.690,6370.329,0.180
168,3,33,959.985,330.802,0,3.299,6.621,56.971,546.038,5570.261,20.076
